DisciplineName,EventUnitName,ID,DisciplineCode,GenderCode,EventCode,PhaseCode,EventID,EventName,PhaseID,PhaseName,DisciplineID,EventOrder,PhaseType,EventUnitType,OlympicDay,StartDate,EndDate,Venue,VenueDescription,Location,LocationDescription,Status,StatusDescription,CompetitorCode,NOC,CompetitorName,Position,Mark,MedalType,IRM
Voleibol de playa,"Masculino, preliminares - grupo F",VBVMTEAM2-------------GPF-000600--,VBV,M,,GPF-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPF---------,"Masc., fase preliminar, partidos grupo F",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T16:00:00+02:00,2024-08-02T16:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---FRA01,FRA,KROU/GAUTHIER-RAT,,,,
Voleibol de playa,"Masculino, preliminares - grupo F",VBVMTEAM2-------------GPF-000600--,VBV,M,,GPF-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPF---------,"Masc., fase preliminar, partidos grupo F",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T16:00:00+02:00,2024-08-02T16:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---NED01,NED,BOERMANS/DE GROOT,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000400--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T20:00:00+02:00,LYO,Estadio de Lyon,LYO,Estadio de Lyon,SCHEDULED,Programado,D1,,1D,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000400--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T20:00:00+02:00,LYO,Estadio de Lyon,LYO,Estadio de Lyon,SCHEDULED,Programado,C2,,2C,,,,
Hockey sobre césped,"Masculino, grupo B",HOCMTEAM11------------GPB-001400--,HOC,M,,GPB-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPB---------,"Masculino, grupo B",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T18:30:00+02:00,YDM,Estadio Yves-du-Manoir,HO1,Estadio Yves-du-Manoir - Campo 1,SCHEDULED,Programado,HOCMTEAM11--NZL01,NZL,Nueva Zelandia,,,,
Hockey sobre césped,"Masculino, grupo B",HOCMTEAM11------------GPB-001400--,HOC,M,,GPB-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPB---------,"Masculino, grupo B",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T18:30:00+02:00,YDM,Estadio Yves-du-Manoir,HO1,Estadio Yves-du-Manoir - Campo 1,SCHEDULED,Programado,HOCMTEAM11--IRL01,IRL,Irlanda,,,,
Voleibol,"Masculino, ronda preliminar, grupo A",VVOMTEAM6-------------GPA-000500--,VVO,M,,GPA-,VVOMTEAM6-------------------------,Masculino,VVOMTEAM6-------------GPA---------,"Masculino, ronda preliminar, grupo A",VVO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T19:15:00+02:00,SP1,Paris Sur Arena 1,SP1,South Paris Arena 1,SCHEDULED,Programado,VVOMTEAM6---FRA01,FRA,Francia,,,,
Voleibol,"Masculino, ronda preliminar, grupo A",VVOMTEAM6-------------GPA-000500--,VVO,M,,GPA-,VVOMTEAM6-------------------------,Masculino,VVOMTEAM6-------------GPA---------,"Masculino, ronda preliminar, grupo A",VVO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T19:15:00+02:00,SP1,Paris Sur Arena 1,SP1,South Paris Arena 1,SCHEDULED,Programado,VVOMTEAM6---SLO01,SLO,Eslovenia,,,,
Voleibol de playa,"Femenino, preliminares - grupo E",VBVWTEAM2-------------GPE-000600--,VBV,W,,GPE-,VBVWTEAM2-------------------------,Femenino,VBVWTEAM2-------------GPE---------,"Fem., fase preliminar, partidos grupo E",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T17:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVWTEAM2---BRA02,BRA,CAROL/BARBARA,,,,
Voleibol de playa,"Femenino, preliminares - grupo E",VBVWTEAM2-------------GPE-000600--,VBV,W,,GPE-,VBVWTEAM2-------------------------,Femenino,VBVWTEAM2-------------GPE---------,"Fem., fase preliminar, partidos grupo E",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:00:00+02:00,2024-08-02T17:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVWTEAM2---NED01,NED,STAM/SCHOON,,,,
Baloncesto,"Masculino, fase de grupos - Grupo A",BKBMTEAM5-------------GPA-000600--,BKB,M,,GPA-,BKBMTEAM5-------------------------,Masculino,BKBMTEAM5-------------GPA---------,Fase de grupos masculino - Grupo A,BKB-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:15:00+02:00,2024-08-02T19:00:00+02:00,LIL,Estadio Pierre Mauroy,LIL,Estadio Pierre Mauroy,SCHEDULED,Programado,BKBMTEAM5---CAN01,CAN,Canadá,,,,
Baloncesto,"Masculino, fase de grupos - Grupo A",BKBMTEAM5-------------GPA-000600--,BKB,M,,GPA-,BKBMTEAM5-------------------------,Masculino,BKBMTEAM5-------------GPA---------,Fase de grupos masculino - Grupo A,BKB-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:15:00+02:00,2024-08-02T19:00:00+02:00,LIL,Estadio Pierre Mauroy,LIL,Estadio Pierre Mauroy,SCHEDULED,Programado,BKBMTEAM5---ESP01,ESP,España,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-002100--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:30:00+02:00,2024-08-02T17:55:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---AZE01,AZE,Azerbaiyán,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-002100--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:30:00+02:00,2024-08-02T17:55:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---CHN01,CHN,China,,,,
Hockey sobre césped,"Masculino, grupo B",HOCMTEAM11------------GPB-001500--,HOC,M,,GPB-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPB---------,"Masculino, grupo B",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:30:00+02:00,2024-08-02T19:00:00+02:00,YDM,Estadio Yves-du-Manoir,HO2,Estadio Yves-du-Manoir - Campo 2,SCHEDULED,Programado,HOCMTEAM11--BEL01,BEL,Bélgica,,,,
Hockey sobre césped,"Masculino, grupo B",HOCMTEAM11------------GPB-001500--,HOC,M,,GPB-,HOCMTEAM11------------------------,Masculino,HOCMTEAM11------------GPB---------,"Masculino, grupo B",HOC-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T17:30:00+02:00,2024-08-02T19:00:00+02:00,YDM,Estadio Yves-du-Manoir,HO2,Estadio Yves-du-Manoir - Campo 2,SCHEDULED,Programado,HOCMTEAM11--ARG01,ARG,Argentina,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-002200--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:00:00+02:00,2024-08-02T18:25:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---USA01,USA,Estados Unidos,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-002200--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:00:00+02:00,2024-08-02T18:25:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---CAN01,CAN,Canadá,,,,
Waterpolo,"Femenino, ronda preliminar - grupo B",WPOWTEAM7-------------GPB-000800--,WPO,W,,GPB-,WPOWTEAM7-------------------------,Femenino,WPOWTEAM7-------------GPB---------,"Femenino, eliminatoria previa, grupo B",WPO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:30:00+02:00,2024-08-02T19:55:00+02:00,AQC,Centro Acuático,AQC,Centro Acuático,SCHEDULED,Programado,WPOWTEAM7---USA01,USA,Estados Unidos,,,,
Waterpolo,"Femenino, ronda preliminar - grupo B",WPOWTEAM7-------------GPB-000800--,WPO,W,,GPB-,WPOWTEAM7-------------------------,Femenino,WPOWTEAM7-------------GPB---------,"Femenino, eliminatoria previa, grupo B",WPO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T18:30:00+02:00,2024-08-02T19:55:00+02:00,AQC,Centro Acuático,AQC,Centro Acuático,SCHEDULED,Programado,WPOWTEAM7---FRA01,FRA,Francia,,,,
